Ativo,Rentabilidade,Min_Moeda,Cotacao_BRL,Minimo p/ Aportar,Projecao 1 Ano
Tether,0.0,10.0,5.19,=C2*D2,=E2*(1+B2)
USD Coin,0.0,10.0,5.19,=C3*D3,=E3*(1+B3)
Ethereum,0.1,0.0037,14147.12,=C4*D4,=E4*(1+B4)
Solana,0.0,0.067,627.09,=C5*D5,=E5*(1+B5)
Near,0.0,2.22,26.14,=C6*D6,=E6*(1+B6)
Cardano,0.0,14.28,1.33,=C7*D7,=E7*(1+B7)
Chiliz,0.0,100.0,0.085522,=C8*D8,=E8*(1+B8)
Avalanche,0.0,0.21,55.14,=C9*D9,=E9*(1+B9)
Polkadot,0.0,1.11,6.15,=C10*D10,=E10*(1+B10)
Cosmos,0.0,0.83,9.39,=C11*D11,=E11*(1+B11)
